Date,Open,High,Low,Close,Volume,Market Cap
Jan-15-2020,8818.537331,8875.853271,8409.183692,8807.632434,41907940747,1.58049E+11
Jan-16-2020,8814.531199,8840.12184,8606.312633,8722.037088,30633889567,1.57033E+11
Jan-17-2020,8725.24886,8985.126764,8675.456403,8921.648281,29962458960,1.60221E+11
Jan-18-2020,8914.238456,8970.022162,8821.668809,8929.544857,29485862976,1.6092E+11
Jan-19-2020,8925.609579,9170.718171,8587.80198,8697.342225,29631647239,1.60142E+11
Jan-20-2020,8706.122036,8739.5969,8540.670356,8639.19622,25527853491,1.56573E+11
Jan-21-2020,8638.623747,8760.412471,8531.709622,8747.38185,21133613686,1.56594E+11
Jan-22-2020,8734.172884,8785.16948,8628.2277,8672.801079,21487927494,1.57068E+11
Jan-23-2020,8678.100848,8679.203318,8314.340391,8391.607957,21694293542,1.53092E+11
Jan-24-2020,8410.044844,8512.004663,8243.925764,8440.287026,21819201522,1.51938E+11
Jan-25-2020,8428.523168,8443.511628,8284.916896,8366.208771,18942559762,1.5086E+11
Jan-26-2020,8350.912434,8602.21977,8317.574929,8591.002876,17062357024,1.5281E+11
Jan-27-2020,8603.445992,8949.882036,8595.699982,8895.603628,21864918500,1.57923E+11
Jan-28-2020,8896.167779,9334.836393,8896.167779,9334.836393,28386922234,1.63463E+11
Jan-29-2020,9361.341369,9399.970874,9264.581115,9304.918064,31677015379,1.68807E+11
Jan-30-2020,9295.295574,9554.568011,9226.934035,9503.268,27862509999,1.69567E+11
Jan-31-2020,9498.823463,9512.289712,9236.475529,9336.132885,29879074256,1.69249E+11
Feb-01-2020,9345.862972,9448.900119,9307.566841,9386.105652,24669132631,1.69637E+11
Feb-02-2020,9382.886003,9451.075249,9222.505435,9339.574889,25513782426,1.69577E+11
Feb-03-2020,9332.390335,9545.342885,9253.044318,9302.362658,28287364413,1.68966E+11
Feb-04-2020,9299.273916,9337.172943,9116.753964,9187.070016,25453389344,1.66715E+11
Feb-05-2020,9175.37744,9684.328804,9163.041623,9602.309743,27369542845,1.70353E+11
Feb-06-2020,9605.879402,9835.472653,9541.800637,9754.078412,33460093620,1.75263E+11
Feb-07-2020,9760.277761,9871.278061,9747.32268,9820.295542,31575968441,1.77054E+11
Feb-08-2020,9878.102326,9911.33486,9678.528906,9899.911944,27781716513,1.77359E+11
Feb-09-2020,9890.510299,10136.29238,9882.112054,10128.75028,30830691931,1.81867E+11
Feb-10-2020,10128.72389,10154.3998,9787.316091,9869.436912,32809761670,1.79314E+11
Feb-11-2020,9859.706677,10283.60936,9729.947876,10229.7009,32344589624,1.79739E+11
Feb-12-2020,10220.50892,10396.60574,10220.50892,10327.55459,37536325031,1.86429E+11
Feb-13-2020,10313.9112,10458.55068,10104.98797,10225.41526,40279999809,1.85753E+11
Feb-14-2020,10229.15008,10360.53208,10110.83426,10327.51233,38621696718,1.85325E+11
Feb-15-2020,10328.11501,10366.43784,9862.309991,9903.077897,35159749255,1.83357E+11
Feb-16-2020,9908.084222,10032.34309,9687.006103,9969.23568,36525467234,1.79093E+11
Feb-17-2020,9939.757985,9940.394815,9481.850577,9711.996028,39598298474,1.75667E+11
Feb-18-2020,9700.842005,10209.58607,9620.499125,10144.8965,38169582164,1.7777E+11
Feb-19-2020,10152.93976,10214.65317,9603.340861,9621.766806,37096619903,1.82314E+11
Feb-20-2020,9612.456348,9656.516877,9483.963622,9612.392632,38453745129,1.73335E+11
Feb-21-2020,9600.491437,9746.933194,9576.364242,9683.453206,33072200100,1.75008E+11
Feb-22-2020,9683.663803,9700.679433,9582.977249,9667.521623,29322369850,1.74532E+11
Feb-23-2020,9663.2508,9951.126734,9663.2508,9923.65932,29496972973,1.78039E+11
Feb-24-2020,9953.140109,9972.513507,9518.287043,9664.370232,33711384527,1.7591E+11
Feb-25-2020,9662.360387,9905.852192,9315.476124,9358.38862,34745765384,1.71785E+11
Feb-26-2020,9327.16578,9368.457957,8692.901591,8829.543593,35462874216,1.63788E+11
Feb-27-2020,8695.374108,8975.439388,8565.953034,8775.595016,37863755310,1.59197E+11
Feb-28-2020,8812.547056,8892.751476,8477.509711,8731.610771,31653812955,1.57412E+11
Feb-29-2020,8750.144606,8783.127594,8569.467785,8569.467785,28569338389,1.56921E+11
Mar-01-2020,8550.541952,8710.274182,8426.707718,8557.504358,25805457968,1.54883E+11
Mar-02-2020,8549.340701,8956.124737,8518.222266,8900.06855,29111523359,1.58184E+11
Mar-03-2020,8907.408057,8907.408057,8679.939335,8772.476037,31679555793,1.59017E+11
Mar-04-2020,8762.362408,8839.479071,8554.100335,8749.500222,29780398865,1.58496E+11
Mar-05-2020,8756.306452,9136.660962,8756.306452,9051.139212,28798098411,1.62918E+11
Mar-06-2020,9062.478818,9150.674744,9007.385122,9129.266628,33574313953,1.64283E+11
Mar-07-2020,9133.485034,9167.919947,8869.500326,8898.942078,34911099915,1.63526E+11
Mar-08-2020,8898.958237,8898.958237,8042.736084,8042.736084,33505674162,1.55088E+11
Mar-09-2020,8045.081283,8132.647863,7664.882826,7915.672115,37959208550,1.42579E+11
Mar-10-2020,7933.949977,8139.026941,7794.19417,7900.821326,34726963415,1.43809E+11
Mar-11-2020,7897.141265,7963.670417,7627.475829,7931.347543,32035157696,1.41971E+11
Mar-12-2020,7932.112312,7953.436635,4684.824346,4724.392684,38263176500,1.21163E+11
Mar-13-2020,4799.696383,5891.890069,4003.591032,5518.647281,60723203715,95005002273
Mar-14-2020,5585.038431,5611.991974,5120.784387,5212.979298,41904880597,97722102310
Mar-15-2020,5200.9682,5832.913923,5168.397856,5381.745247,26391424072,96195556705
Mar-16-2020,5374.039138,5374.039138,4528.29957,5022.578106,33030427612,90499353955
Mar-17-2020,5008.440359,5446.809002,4968.735364,5362.320407,36376336244,95525363027
Mar-18-2020,5322.867474,5396.969402,5047.756899,5365.581534,30708432421,95631779591
Mar-19-2020,5363.797911,6373.372919,5280.25082,6160.004718,46227050479,1.04549E+11
Mar-20-2020,6163.652016,6845.323911,5816.372412,6192.309975,82173623931,1.15936E+11
Mar-21-2020,6211.467473,6428.249246,5921.284296,6149.798351,74321910267,1.12729E+11
Mar-22-2020,6162.351079,6385.923936,5796.488313,5843.158786,49039501835,1.12188E+11
Mar-23-2020,5836.556173,6500.702807,5769.09003,6467.459038,48057935733,1.11429E+11
Mar-24-2020,6465.057236,6776.05115,6390.800015,6736.044984,41093254550,1.21098E+11
Mar-25-2020,6740.887504,6909.427938,6509.137357,6681.336594,37094888214,1.21547E+11
Mar-26-2020,6679.399747,6750.800609,6563.679185,6736.291779,29627849181,1.21738E+11
Mar-27-2020,6736.947799,6820.942204,6377.749564,6377.749564,28806208013,1.22203E+11
Mar-28-2020,6378.656392,6378.656392,6073.035098,6239.838832,27085157179,1.13827E+11
Mar-29-2020,6241.95689,6241.95689,5908.106132,5917.297073,23647684302,1.11752E+11
Mar-30-2020,5900.006585,6546.928547,5877.928855,6424.078447,27021350125,1.14502E+11
Mar-31-2020,6397.716177,6496.83391,6358.758001,6431.262413,27431559375,1.17897E+11
Apr-01-2020,6419.060999,6601.951969,6176.881757,6598.287015,25637412067,1.15302E+11
Apr-02-2020,6591.466748,7112.018153,6572.988866,6807.465142,35949707671,1.22725E+11
Apr-03-2020,6797.838574,7009.42559,6630.440002,6733.747735,37167518959,1.24606E+11
Apr-04-2020,6733.667481,6867.941778,6693.177965,6847.730055,27880150848,1.23733E+11
Apr-05-2020,6847.44595,6874.528639,6710.016206,6789.732165,25269670113,1.24308E+11
Apr-06-2020,6789.732157,7291.003705,6789.732139,7279.161792,31594108803,1.29473E+11
Apr-07-2020,7317.027619,7428.30619,7122.743854,7198.770192,39144962206,1.33818E+11
Apr-08-2020,7197.669188,7376.150589,7171.114164,7352.328771,32753738689,1.3353E+11
Apr-09-2020,7350.847013,7355.680725,7166.887911,7293.58436,28609068745,1.33591E+11
Apr-10-2020,7287.828929,7291.256766,6773.425902,6859.833737,32004749572,1.27758E+11
Apr-11-2020,6870.159673,6930.589448,6773.981141,6869.586552,30015475132,1.25695E+11
Apr-12-2020,6873.738524,7151.799963,6797.613535,6977.230636,25365748776,1.27015E+11
Apr-13-2020,6925.828476,6925.828476,6651.140958,6837.42254,31953029026,1.23588E+11
Apr-14-2020,6841.808245,6956.211498,6778.251961,6856.179094,28504195497,1.25895E+11
Apr-15-2020,6860.026011,6915.825191,6629.918818,6637.791816,26821228376,1.24596E+11
Apr-16-2020,6632.633868,7136.021271,6531.440044,7088.799492,33497785089,1.26464E+11
Apr-17-2020,7095.723993,7127.521096,7028.621059,7034.540358,30376034250,1.29518E+11
Apr-18-2020,7038.544102,7258.392591,7038.544102,7233.157423,24783424487,1.30947E+11
Apr-19-2020,7238.814,7238.814,7084.171816,7133.148679,25713381020,1.313E+11
Apr-20-2020,7130.802846,7193.471506,6802.728636,6856.785953,26956989051,1.29289E+11
Apr-21-2020,6850.014587,6909.394476,6793.922255,6851.005362,29393938160,1.25825E+11
Apr-22-2020,6848.632955,7127.934459,6828.232224,7106.551177,24916975279,1.28121E+11
Apr-23-2020,7114.279113,7612.469033,7043.728866,7464.891127,30103580671,1.33568E+11
Apr-24-2020,7470.507761,7584.586417,7430.217502,7497.353393,31706852571,1.37798E+11
Apr-25-2020,7499.599962,7600.653706,7452.971185,7535.263897,25858610306,1.38203E+11
Apr-26-2020,7536.121952,7667.006245,7529.539217,7665.828318,24111822560,1.39184E+11
Apr-27-2020,7676.112824,7766.689761,7651.244534,7766.689761,27154195068,1.41336E+11
Apr-28-2020,7772.739892,7772.739892,7668.774697,7754.222426,25836558088,1.41607E+11
Apr-29-2020,7747.510263,8878.881234,7731.959973,8759.78919,34278610731,1.50712E+11
Apr-30-2020,8756.427416,9425.798394,8476.196338,8607.329832,56288690521,1.63082E+11
May-01-2020,8629.225398,9025.379732,8629.225398,8832.981251,43425802328,1.61118E+11
May-02-2020,8822.562075,8992.528435,8778.174811,8974.922892,34889762274,1.62713E+11
May-03-2020,8973.683542,9157.860151,8765.817978,8894.362675,36776322130,1.64772E+11
May-04-2020,8895.401328,8933.90522,8571.361768,8883.306781,35712348408,1.60942E+11
May-05-2020,8876.401349,9060.014739,8826.544715,8967.997704,34606031419,1.63732E+11
May-06-2020,9013.045881,9353.209747,8936.688924,9198.252701,37332792656,1.67827E+11
May-07-2020,9170.342931,9985.692229,9086.608456,9968.105282,44195883978,1.73693E+11
May-08-2020,9943.631675,9995.180687,9753.752318,9822.885629,50787616034,1.81978E+11
May-09-2020,9814.400817,9900.431521,9559.705894,9570.005988,36759061346,1.78686E+11
May-10-2020,9554.216377,9554.216377,8388.959555,8745.152545,49096426545,1.59826E+11
May-11-2020,8747.339336,9108.0357,8303.339059,8593.856494,43551499512,1.59916E+11
May-12-2020,8583.604045,8940.956452,8566.733028,8792.063768,44269698683,1.61057E+11
May-13-2020,8804.984468,9363.647602,8804.984468,9302.896541,34610987893,1.65909E+11
May-14-2020,9298.001842,9836.468003,9273.449891,9772.561576,44963754585,1.7568E+11
May-15-2020,9772.438557,9803.130232,9240.452877,9293.972171,44345543412,1.75072E+11
May-16-2020,9307.561702,9556.384606,9235.124285,9380.484219,35516301774,1.72807E+11
May-17-2020,9383.519751,9835.576125,9349.102059,9667.578397,31980216369,1.76741E+11
May-18-2020,9672.109016,9901.963053,9563.109966,9733.739137,36680111315,1.78661E+11
May-19-2020,9724.567636,9852.625432,9518.785994,9761.178765,33953354777,1.77792E+11
May-20-2020,9769.895545,9805.300343,9441.170646,9524.434064,31304878616,1.77817E+11
